"","id","sex","age","department","year","familiarity","frequency","perform_better","feedback","update","reduce_skills","understanding","unethical","Uses_ChatGPT","Uses_Copilot","Uses_Deep_Seek","Uses_Question_AI","Uses_Quillbot","Uses_Google_gemini","Uses_Grok","Uses_None_at_all","Uses_Cursor","Uses_Turbolearn","Uses_Cluadia","Uses_thethawise","Uses_Cloud","Uses_Poe","Purpose_For_studying","Purpose_For_doing_assignments","Purpose_For_editing_assignments_only","Purpose_None","Purpose_For_quizzes_(test)","Purpose_For_research."
"16",13,"0","21","Other Natural Sciences","1","4","5","4","4","4","4","4","4","1","1","1","1","1","0","1","0","0","0","0","0","0","0","1","1","1","0","1","0"
"17",14,"0","24","Biology","3","3","2","4","5","4","4","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"18",15,"0","19","Other Natural Sciences","1","4","4","5","3","4","2","2","2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"19",16,"0","18","Other Natural Sciences","1","3","5","4","4","2","2","4","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"20",17,"0","19","Other Natural Sciences","1","2","1","1","1","1","3","4","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"21",18,"0","19","Computer Science","1","2","3","4","4","4","3","4","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"22",19,"0","19","Other Natural Sciences","1","3","5","4","3","5","4","4","3","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0"
"23",20,"0","20","Other Natural Sciences","1","4","3","1","1","4","4","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"24",21,"0","22","Computer Science","1","3","4","4","2","4","2","4","2","1","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"25",22,"0","20","Other Natural Sciences","1","4","5","4","3","4","5","2","4","1","1","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"26",23,"0","19","Other Natural Sciences","1","3","4","4","4","5","5","2","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0"
"27",24,"0","20","Computer Science","1","3","4","4","4","4","2","3","4","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"28",25,"0","18","Computer Science","1","3","3","4","3","2","4","1","1","1","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0"
"29",26,"0","20","Computer Science","1","3","4","4","2","3","5","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"30",27,"0","19","Other Natural Sciences","1","3","5","4","4","5","2","3","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0"
"31",28,"0","22","Other Natural Sciences","1","4","5","4","4","4","5","2","2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"32",29,"0","19","Other Natural Sciences","1","4","4","3","5","4","2","1","1","1","0","1","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1","0"
"33",30,"1","22","Biology","3","2","3","4","5","4","4","5","2","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"34",31,"0","22","Other Natural Sciences","1","4","4","2","4","5","4","3","4","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"35",32,"0","19","Computer Science","1","4","4","4","3","4","2","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","0"
"36",33,"0","19","Computer Science","1","4","3","3","4","3","4","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"37",34,"0","20","Computer Science","1","4","4","2","4","5","5","4","2","1","1","1","0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0"
"38",35,"0","19","Other Natural Sciences","1","3","4","4","4","4","2","1","2","1","1","1","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"39",36,"0","21","Other Natural Sciences","1","4","4","5","5","5","4","4","3","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","0","1","0"
"40",37,"0","19","Other Natural Sciences","1","3","5","4","4","5","3","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"41",38,"0","19","Other Natural Sciences","1","3","3","4","4","4","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"42",39,"0","20","Computer Science","1","3","3","2","2","2","4","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"43",40,"0","19","Other Natural Sciences","1","4","4","4","4","4","3","5","3","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"44",41,"1","18","Computer Science","1","3","4","4","4","3","2","3","2","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"45",42,"1","18","Other Natural Sciences","1","2","2","4","4","3","3","4","2","1","1","1","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"46",43,"1","19","Other Natural Sciences","1","4","2","4","3","4","4","4","2","1","1","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"47",44,"0","23","Statistics","2","4","4","4","2","4","3","2","2","1","0","1","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0"
"48",45,"0","22","Biology","4","4","4","4","4","3","5","5","3","1","0","1","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"49",46,"1","18","Other Natural Sciences","1","4","5","4","4","5","4","3","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"50",47,"1","19","Other Natural Sciences","1","3","5","5","4","4","3","3","2","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"51",48,"1","20","Computer Science","1","2","3","3","4","3","4","5","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"52",49,"0","23","Biology","3","4","4","5","5","5","4","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"53",50,"0","21","Computer Science","3","4","4","5","4","5","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"54",51,"1","22","Biology","4","4","5","4","3","2","5","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"55",52,"1","23","Computer Science","2","3","5","5","3","4","4","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"56",53,"0","19","Other Natural Sciences","1","4","5","4","5","4","5","5","3","1","0","1","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0"
"57",54,"1","23","Computer Science","4","4","4","5","4","5","4","2","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0"
"58",55,"0","21","Biology","4","4","4","2","4","2","4","4","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"59",56,"1","21","Computer Science","2","3","4","4","5","4","2","5","3","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0"
"60",57,"0","21","Computer Science","3","4","4","4","4","4","3","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"61",58,"0","22","Computer Science","3","4","5","5","5","5","4","2","3","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"62",59,"1","21","Biology","3","4","4","4","4","3","4","4","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"63",60,"1","20","Computer Science","1","3","4","4","4","4","4","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"64",61,"1","19","Other Natural Sciences","1","3","5","4","2","4","5","5","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"65",62,"1","18","Computer Science","1","3","4","4","4","4","4","2","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0"
"66",63,"1","19","Other Natural Sciences","1","4","3","3","4","4","2","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"67",64,"1","21","Biology","3","4","4","3","1","2","3","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"68",65,"1","21","Statistics","2","4","5","3","4","4","2","2","1","1","1","0","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0"
"69",66,"1","21","Statistics","3","3","4","4","4","3","3","4","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"71",67,"0","21","Computer Science","1","4","4","3","5","4","5","5","3","1","0","1","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"72",68,"0","20","Statistics","2","4","3","4","4","5","2","3","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"73",69,"1","22","Biology","4","3","4","5","4","4","4","4","3","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"75",70,"0","22","Computer Science","4","4","5","5","5","5","1","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"76",71,"0","21","Statistics","3","4","4","2","4","4","4","2","2","1","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"77",72,"0","23","Computer Science","4","4","5","5","5","5","5","5","2","1","1","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"78",73,"1","21","Computer Science","3","4","4","4","4","3","4","4","2","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"79",74,"1","22","Computer Science","3","3","4","4","4","5","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"81",75,"0","17 and under","Computer Science","2","4","3","3","3","3","4","4","3","1","1","1","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","0"
"82",76,"0","21","Computer Science","3","4","5","5","5","5","4","3","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"83",77,"0","22","Computer Science","3","3","4","4","3","5","4","2","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"84",78,"0","21","Computer Science","3","4","4","4","4","4","3","3","2","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"85",79,"0","21","Computer Science","3","4","4","4","4","4","4","2","2","1","1","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"86",80,"0","21","Computer Science","3","4","5","4","5","5","3","3","1","1","1","1","0","1","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0"
"87",81,"0","24","Computer Science","4","4","4","5","4","5","2","3","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0"
"88",82,"0","23","Computer Science","4","4","4","4","5","5","2","4","2","1","1","1","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0"
"89",83,"0","25","Computer Science","1","3","1","1","1","2","4","4","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"90",84,"0","22","Computer Science","3","4","5","5","4","4","3","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"91",85,"0","23","Computer Science","4","4","5","4","4","4","4","4","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0"
"92",86,"1","20","Other Natural Sciences","1","3","3","4","3","3","5","5","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"93",87,"0","19","Other Natural Sciences","1","4","4","4","5","4","5","4","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"94",88,"0","19","Computer Science","2","4","4","3","4","5","5","5","5","1","0","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"95",89,"0","20","Computer Science","2","4","3","4","3","4","2","5","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"96",90,"0","19","Computer Science","2","4","4","4","4","3","2","2","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"97",91,"1","22","Computer Science","2","3","5","5","5","4","3","3","2","1","1","1","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"99",92,"0","20","Computer Science","2","4","4","4","4","4","5","4","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"101",93,"1","20","Computer Science","3","4","3","5","5","5","4","4","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"102",94,"1","19","Computer Science","1","4","3","4","4","3","3","1","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"103",95,"0","20","Computer Science","2","4","4","4","4","4","5","2","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"104",96,"1","21","Computer Science","3","3","4","5","5","5","2","5","5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"105",97,"1","22","Computer Science","3","4","5","5","5","4","5","1","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106",98,"1","20","Computer Science","2","4","4","4","4","2","3","4","1","1","1","0","0","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0"
"107",99,"1","20","Computer Science","2","3","4","4","4","3","3","2","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"108",100,"1","19","Computer Science","2","4","5","5","5","5","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"109",101,"1","20","Computer Science","2","4","4","5","4","3","4","5","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"110",102,"1","19","Computer Science","2","4","4","5","4","3","4","5","3","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"111",103,"1","20","Computer Science","3","4","5","5","3","5","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"112",104,"0","19","Computer Science","2","3","4","4","4","3","4","2","3","1","1","1","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"113",105,"0","24","Mathematics","3","3","2","5","5","5","5","5","5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"114",106,"0","21","Computer Science","1","4","4","4","4","5","5","3","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"115",107,"0","21","Statistics","3","4","4","3","3","1","4","3","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"116",108,"1","21","Computer Science","4","4","5","5","4","3","4","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0"
"117",109,"1","22","Computer Science","4","3","5","5","5","5","4","4","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"118",110,"1","21","Computer Science","4","4","5","5","4","3","3","3","2","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"119",111,"1","22","Computer Science","4","4","5","3","5","3","3","3","3","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"120",112,"1","18","Computer Science","1","3","2","2","1","3","3","3","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0"
"121",113,"1","19","Other Natural Sciences","1","3","4","5","5","5","4","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"122",114,"0","19","Computer Science","1","4","5","4","5","4","4","5","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"123",115,"1","21","Computer Science","3","3","4","3","2","3","4","3","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"124",116,"1","19","Other Natural Sciences","1","2","4","3","4","3","4","4","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"126",117,"1","19","Other Natural Sciences","1","4","4","4","4","3","2","4","3","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"127",118,"1","19","Computer Science","1","3","3","3","2","2","4","4","3","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"128",119,"1","19","Other Natural Sciences","1","3","4","4","4","4","4","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"129",120,"1","19","Other Natural Sciences","1","3","3","4","4","4","3","4","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"130",121,"1","18","Other Natural Sciences","1","4","4","4","4","4","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"131",122,"1","19","Other Natural Sciences","1","3","4","4","5","4","3","4","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"132",123,"1","19","Other Natural Sciences","1","3","3","3","4","1","5","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"133",124,"1","22","Other Natural Sciences","1","2","1","1","1","1","2","4","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"134",125,"0","20","Other Natural Sciences","1","3","4","4","3","4","2","4","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"135",126,"1","20","Other Natural Sciences","1","3","5","4","3","2","5","4","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"136",127,"0","20","Computer Science","2","4","4","5","5","5","2","1","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0"
"137",128,"0","19","Other Natural Sciences","1","4","4","4","5","4","5","5","2","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"138",129,"0","18","Other Natural Sciences","1","4","2","3","4","1","5","3","3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"139",130,"0","20","Computer Science","2","4","4","4","4","4","4","3","3","1","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"140",131,"0","19","Computer Science","2","3","1","1","1","1","4","3","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"142",132,"0","23","Other Natural Sciences","1","2","3","4","4","4","4","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"143",133,"0","19","Other Natural Sciences","1","3","3","5","2","4","5","5","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0"
"144",134,"1","19","Other Natural Sciences","1","3","4","3","3","4","3","3","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"145",135,"0","21","Mathematics","4","4","3","2","1","2","3","2","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"146",136,"0","23","Mathematics","3","4","3","4","4","4","4","3","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"147",137,"0","19","Other Natural Sciences","1","2","2","4","2","1","1","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"148",138,"1","23","Mathematics","3","3","3","3","3","4","3","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"149",139,"1","21","Mathematics","2","3","3","3","4","4","3","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"150",140,"0","25","Mathematics","4","3","3","4","4","4","5","4","5","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"151",141,"1","21","Biology","2","3","3","4","4","4","4","4","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"152",142,"1","21","Biology","2","3","4","4","3","4","4","4","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
